GEO_ID,id,0100000US
DP02_0010M,Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households,83510
DP02_0010PE,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households,34.8
DP02_0010PM,Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households,0.1
DP02_0011E,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone,34054073
DP02_0011M,Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone,89821
DP02_0011PE,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone,28
DP02_0011PM,Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone,0.1
DP02_0012E,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over,13421396
DP02_0012M,Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over,50260
DP02_0012PE,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over,11
DP02_0012PM,Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over,0.1
DP02_0013E,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,36878070
DP02_0013M,Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,84504
DP02_0013PE,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,30.3
DP02_0013PM,Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,0.1
DP02_0014E,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,36582233
DP02_0014M,Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,50002
DP02_0014PE,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,30.1
DP02_0014PM,Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,0.1
DP02_0015E,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,2.63
DP02_0015M,Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,0.01
DP02_0015PE,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,(X)
DP02_0015PM,Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,(X)
DP02_0016E,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,3.24
DP02_0016M,Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,0.01
DP02_0016PE,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,(X)
DP02_0016PM,Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,(X)
