SUMLEV,REGION,DIVISION,STATE,NAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018,NPOPCHG_2019,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,BIRTHS2017,BIRTHS2018,BIRTHS2019,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,DEATHS2017,DEATHS2018,DEATHS2019,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,NATURALINC2017,NATURALINC2018,NATURALINC2019,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,INTERNATIONALMIG2017,INTERNATIONALMIG2018,INTERNATIONALMIG2019,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,DOMESTICMIG2017,DOMESTICMIG2018,DOMESTICMIG2019,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,NETMIG2017,NETMIG2018,NETMIG2019,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016,RESIDUAL2017,RESIDUAL2018,RESIDUAL2019,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RBIRTH2016,RBIRTH2017,RBIRTH2018,RBIRTH2019,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RDEATH2016,RDEATH2017,RDEATH2018,RDEATH2019,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RNATURALINC2016,RNATURALINC2017,RNATURALINC2018,RNATURALINC2019,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RINTERNATIONALMIG2016,RINTERNATIONALMIG2017,RINTERNATIONALMIG2018,RINTERNATIONALMIG2019,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RDOMESTICMIG2016,RDOMESTICMIG2017,RDOMESTICMIG2018,RDOMESTICMIG2019,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015,RNETMIG2016,RNETMIG2017,RNETMIG2018,RNETMIG2019
40,4,8,8,Colorado,5029196,5029319,5047349,5121108,5192647,5269035,5350101,5450623,5539215,5611885,5691287,5758736,18030,73759,71539,76388,81066,100522,88592,72670,79402,67449,16780,65926,64748,64729,65702,66350,66588,65375,64494,64524,7832,32015,32721,33589,33935,36253,36719,37702,38490,39116,8948,33911,32027,31140,31767,30097,29869,27673,26004,25408,2322,12382,11017,8715,9461,13122,9351,8171,10646,10523,6111,27250,27722,35709,38947,56554,49084,36612,42539,31335,8433,39632,38739,44424,48408,69676,58435,44783,53185,41858,649,216,773,824,891,749,288,214,213,183,12.96676575,12.55565989,12.37449198,12.37426472,12.28621341,12.11810402,11.72530064,11.41166391,11.27054505,6.296923909,6.345118727,6.421338366,6.391292098,6.713068494,6.682355099,6.762023478,6.810477625,6.832475358,6.669841845,6.210541166,5.953153613,5.982972626,5.573144911,5.435748916,4.963277166,4.601186287,4.438069688,2.435374413,2.136370313,1.666080082,1.781877546,2.429837111,1.701753929,1.465505645,1.883719013,1.83807491,5.359711901,5.375733668,6.826626923,7.335248367,10.47226093,8.932615749,6.566527069,7.526913684,5.473351451,7.795086315,7.512103982,8.492707005,9.117125913,12.90209805,10.63436968,8.032032714,9.410632697,7.311426361
40,1,1,9,Connecticut,3574097,3574147,3579114,3588283,3594547,3594841,3594524,3587122,3578141,3573297,3571520,3565287,4967,9169,6264,294,-317,-7402,-8981,-4844,-1777,-6233,9488,37634,36855,36142,36162,36321,35888,35551,34883,34567,6847,29295,29064,29756,29669,30375,30116,31118,31263,31149,2641,8339,7791,6386,6493,5946,5772,4433,3620,3418,2420,12893,15890,11024,18106,16475,14395,14368,18498,12323,152,-12024,-17361,-17031,-25086,-29963,-29219,-23724,-23976,-22059,2572,869,-1471,-6007,-6980,-13488,-14824,-9356,-5478,-9736,-246,-39,-56,-85,170,140,71,79,81,85,10.50144146,10.26197195,10.05426331,10.05985925,10.11495136,10.01721779,9.942336073,9.7645608,9.686965053,8.174515797,8.092632013,8.277756048,8.253580115,8.459063563,8.406111541,8.70258541,8.751238835,8.729113734,2.326925661,2.16933994,1.776507263,1.806279136,1.655887801,1.61110625,1.239750663,1.013321965,0.957851319,3.597679883,4.424439949,3.06674226,5.036884342,4.588084681,4.017996269,4.018212841,5.178019255,3.453365069,-3.355192966,-4.834027814,-4.737816348,-6.978641368,-8.344326635,-8.155736921,-6.634749543,-6.711438516,-6.181756071,0.242486917,-0.409587864,-1.671074089,-1.941757026,-3.756241953,-4.137740652,-2.616536702,-1.53341926,-2.728391002
40,3,5,10,Delaware,897934,897937,899593,907381,915179,923576,932487,941252,948921,956823,965479,973764,1656,7788,7798,8397,8911,8765,7669,7902,8656,8285,2842,11298,11158,10890,10981,11026,11084,10978,10732,10683,1839,7874,7695,8085,8072,8543,8505,9057,9420,9454,1003,3424,3463,2805,2909,2483,2579,1921,1312,1229,357,1527,1212,2357,1743,2238,1708,1528,484,73,281,2854,3202,3298,4230,4052,3379,4430,6851,6961,638,4381,4414,5655,5973,6290,5087,5958,7335,7034,15,-17,-79,-63,29,-8,3,23,9,22,12.50488386,12.24431569,11.84497119,11.83257249,11.7689817,11.72802701,11.52095979,11.16577936,11.01770124,8.71512263,8.444166447,8.793993762,8.697980618,9.11866594,8.999176266,9.504949248,9.80074931,9.75019634,3.789761225,3.800149241,3.050977428,3.134591875,2.650315759,2.728850745,2.016010545,1.365030053,1.267504898,1.690118397,1.329997366,2.563691193,1.878169006,2.388806552,1.807241983,1.603573198,0.503562916,0.07528711,3.158872236,3.513738917,3.587209824,4.558034937,4.325042068,3.57533411,4.649102923,7.127912264,7.179089985,4.848990633,4.843736283,6.150901017,6.436203944,6.71384862,5.382576092,6.25267612,7.631475179,7.254377095
40,3,5,11,District of Columbia,601723,601767,605226,619800,634924,650581,662328,675400,685815,694906,701547,705749,3459,14574,15124,15657,11747,13072,10415,9091,6641,4202,2245,9196,9232,9445,9334,9648,9718,9693,9523,9493,1181,4668,4538,4813,4650,4883,4852,5138,5321,5677,1064,4528,4694,4632,4684,4765,4866,4555,4202,3816,696,2414,3384,4737,5205,5024,3451,3541,2749,2604,1473,7537,6711,6051,1778,3201,2057,973,-318,-2203,2169,9951,10095,10788,6983,8225,5508,4514,2431,401,226,95,335,237,80,82,41,22,8,-15,15.0135589,14.71558685,14.69461418,14.21880724,14.42445699,14.27842038,14.04049044,13.63884069,13.49112056,7.621062737,7.233463296,7.488107786,7.08350693,7.300437757,7.128925262,7.442488381,7.620736251,8.067954432,7.392496159,7.482123559,7.206506392,7.135300314,7.124019233,7.14949512,6.598002058,6.01810444,5.423166129,3.941140841,5.394014939,7.369866317,7.928957757,7.511242943,5.070470132,5.129204235,3.937117826,3.700713993,12.30504495,10.69717324,9.414199089,2.708489317,4.785726246,3.022299931,1.409408563,-0.455439603,-3.130826777,16.2461858,16.09118818,16.78406541,10.63744707,12.29696919,8.092770062,6.538612797,3.481678223,0.569887216
40,3,5,12,Florida,18801310,18804564,18845537,19053237,19297822,19545621,19845911,20209042,20613477,20963613,21244317,21477737,40973,207700,244585,247799,300290,363131,404435,350136,280704,233420,50873,213205,214010,212988,218333,221746,224651,224574,223066,221695,41764,174483,173756,181609,181024,191076,193671,199813,209998,211692,9109,38722,40254,31379,37309,30670,30980,24761,13068,10003,22164,100548,98777,103594,112485,132882,155926,160385,131600,88678,10296,68593,103746,111585,147547,197401,216749,164257,135530,133910,32460,169141,202523,215179,260032,330283,372675,324642,267130,222588,-596,-163,1808,1241,2949,2178,780,733,506,829,11.25128744,11.16057838,10.9664841,11.08527589,11.07208889,11.00622918,10.80277624,10.56986211,10.3784804,9.207844032,9.061340392,9.350818876,9.191010901,9.540692758,9.488439457,9.61168759,9.950641977,9.91019767,2.043443411,2.09923799,1.615665223,1.894264991,1.53139613,1.517789728,1.19108865,0.619220132,0.468282728,5.306134705,5.151200649,5.333924699,5.711125934,6.634984692,7.639215013,7.715066158,6.235795027,4.151392159,3.619800472,5.410332998,5.745371233,7.491305492,9.856508882,10.61908992,7.901322579,6.422015958,6.268893345,8.925935177,10.56153365,11.07929593,13.20243143,16.49149357,18.25830493,15.61638874,12.65781099,10.4202855
40,3,5,13,Georgia,9687653,9688729,9711881,9802431,9901430,9972479,10067278,10178447,10301890,10410330,10511131,10617423,23152,90550,98999,71049,94799,111169,123443,108440,100801,106292,32487,132621,131867,128653,129551,131676,130742,129824,128547,127873,17216,71158,70452,74849,74837,78553,80059,82160,84569,86319,15271,61463,61415,53804,54714,53123,50683,47664,43978,41554,4088,11606,21466,22294,16832,25266,34354,20986,16863,15053,3012,17214,15023,-5840,23027,32629,38428,39794,39981,49680,7100,28820,36489,16454,39859,57895,72782,60780,56844,64733,781,267,1095,791,226,151,-22,-4,-21,5,13.59217789,13.38488939,12.94692453,12.9293983,13.00778313,12.76756335,12.53598117,12.28852995,12.10428314,7.292903793,7.151085769,7.532388319,7.468853041,7.759959201,7.818133071,7.933480815,8.084425844,8.170838383,6.299274092,6.233803619,5.414536214,5.460545255,5.247823923,4.949430276,4.60250036,4.204104102,3.933444759,1.189485953,2.178862305,2.243544539,1.679860689,2.495934327,3.354827609,2.026436567,1.612028911,1.424896375,1.764243597,1.524878804,-0.587705217,2.298131659,3.223297758,3.752672625,3.842562507,3.822008415,4.702640796,2.95372955,3.703741109,1.655839322,3.977992348,5.719232085,7.107500233,5.868999074,5.434037327,6.127537171
40,4,9,15,Hawaii,1360301,1360307,1363963,1379329,1394804,1408243,1414538,1422052,1427559,1424393,1420593,1415872,3656,15366,15475,13439,6295,7514,5507,-3166,-3800,-4721,4647,19151,18891,19036,18956,18212,18250,17939,17173,16878,2534,10072,10244,10340,10740,11070,10854,11297,12454,12748,2113,9079,8647,8696,8216,7142,7396,6642,4719,4130,1975,7229,10116,5681,3854,7267,9598,4647,4412,5014,-348,-889,-3061,-764,-5709,-6817,-11455,-14452,-12910,-13817,1627,6340,7055,4917,-1855,450,-1857,-9805,-8498,-8803,-84,-53,-227,-174,-66,-78,-32,-3,-21,-48,13.96205727,13.61939027,13.58236234,13.43072665,12.84077008,12.80876583,12.58015563,12.07246714,11.90072855,7.343002495,7.385370492,7.377685783,7.609516998,7.80514632,7.617881879,7.922293222,8.75505187,8.98865313,6.619054771,6.234019782,6.204676554,5.821209651,5.03562376,5.190883949,4.657862404,3.31741527,2.912075418,5.27031027,7.293089409,4.053446125,2.730640457,5.123757751,6.73635805,3.258820625,3.101596985,3.535386476,-0.648126412,-2.206815607,-0.545121077,-4.044947164,-4.806475381,-8.039693839,-10.13481293,-9.075615838,-9.742408244,4.622183858,5.086273802,3.508325048,-1.314306707,0.317282371,-1.303335789,-6.875992303,-5.974018853,-6.207021768
40,4,8,16,Idaho,1567582,1567657,1570746,1583910,1595324,1611206,1631112,1651059,1682380,1717715,1750536,1787065,3089,13164,11414,15882,19906,19947,31321,35335,32821,36529,5971,22952,22365,22699,22422,23030,22642,22430,22054,22220,2582,11881,11893,12295,12533,12888,13278,13687,13451,13308,3389,11071,10472,10404,9889,10142,9364,8743,8603,8912,114,1541,1524,1782,1322,2998,3369,1518,122,167,-378,528,-718,3543,8482,6763,18541,25007,24020,27360,-264,2069,806,5325,9804,9761,21910,26525,24142,27527,-36,24,136,153,213,44,47,67,76,90,14.55119037,14.06942679,14.15798386,13.83084571,14.03339436,13.58476936,13.193749,12.71764933,12.5621855,7.53235852,7.481676404,7.668726006,7.730888827,7.853338537,7.96654746,8.050951518,7.756647371,7.523742785,7.018831847,6.587750383,6.489257858,6.099956883,6.180055823,5.618221902,5.142797481,4.961001958,5.038442719,0.976968646,0.958721503,1.111481882,0.815465972,1.826839613,2.021335924,0.892916227,0.070352463,0.094414266,0.334743313,-0.451681128,2.209865493,5.232059286,4.121052803,11.12424736,14.709589,13.85136197,15.4681096,1.311711959,0.507040375,3.321347376,6.047525258,5.947892416,13.14558329,15.60250522,13.92171443,15.56252387
40,2,3,17,Illinois,12830632,12831572,12840503,12867454,12882510,12895129,12884493,12858913,12820527,12778828,12723071,12671821,8931,26951,15056,12619,-10636,-25580,-38386,-41699,-55757,-51250,41831,162400,160123,157513,157512,159239,156289,151944,147037,144299,24075,101622,101304,104307,102688,107564,106158,108770,109549,110004,17756,60778,58819,53206,54824,51675,50131,43174,37488,34295,4868,30606,27200,27571,28835,30323,24509,29564,20260,19209,-13329,-64482,-70886,-67989,-94721,-107924,-113179,-114678,-113699,-104986,-8461,-33876,-43686,-40418,-65886,-77601,-88670,-85114,-93439,-85777,-364,49,-77,-169,426,346,153,241,194,232,12.6342206,12.43675525,12.220902,12.21988437,12.37124567,12.17230594,11.87092409,11.53145497,11.36441139,7.905879102,7.868282845,8.092828052,7.966602458,8.356625382,8.267937307,8.497870357,8.591438622,8.663474529,4.728341501,4.568472406,4.128073948,4.253281914,4.014620288,3.904368631,3.373053735,2.940016349,2.700936866,2.381052683,2.112624313,2.139140827,2.237038231,2.355787731,1.908842249,2.309745695,1.588901281,1.512823918,-5.016501311,-5.505716435,-5.275037019,-7.348517368,-8.384593709,-8.814756085,-8.959444486,-8.91690458,-8.268276943,-2.635448628,-3.393092122,-3.135896193,-5.111479137,-6.028805979,-6.905913836,-6.649698791,-7.328003299,-6.755453026
40,2,3,18,Indiana,6483802,6484051,6490432,6516528,6537703,6568713,6593644,6608422,6634304,6658078,6695497,6732219,6381,26096,21175,31010,24931,14778,25882,23774,37419,36722,20955,83459,83077,83373,83554,84175,83559,82268,81801,80711,13852,57901,58599,60698,59833,62900,62128,65300,63233,62175,7103,25558,24478,22675,23721,21275,21431,16968,18568,18536,2376,8791,10534,8595,9527,7779,13298,8861,14959,14379,-3040,-8203,-13567,81,-7644,-13950,-8698,-1877,4044,3997,-664,588,-3033,8676,1883,-6171,4600,6984,19003,18376,-58,-50,-270,-341,-673,-326,-149,-178,-152,-190,12.83297558,12.72798068,12.72247119,12.69590241,12.75179203,12.61960717,12.37821784,12.25155062,12.02155303,8.903079582,8.977778929,9.262333807,9.09153277,9.528811627,9.38296239,9.825176556,9.470572487,9.260696309,3.929895994,3.750201755,3.460137386,3.604369643,3.222980403,3.236644781,2.553041283,2.780978128,2.760856724,1.351737839,1.613882886,1.311571371,1.447613068,1.178451918,2.008347828,1.333244862,2.240448719,2.141689622,-1.261324706,-2.078559817,0.012360359,-1.1614941,-2.113305599,-1.313626817,-0.282417403,0.605680501,0.595335797,0.090413133,-0.464676931,1.323931729,0.286118968,-0.934853681,0.694721011,1.050827459,2.84612922,2.737025418
40,2,4,19,Iowa,3046355,3046871,3050745,3066336,3076190,3092997,3109350,3120960,3131371,3141550,3148618,3155070,3874,15591,9854,16807,16353,11610,10411,10179,7068,6452,9958,37854,38472,38806,39463,39702,39432,38850,38068,37672,6888,28188,28055,29150,28884,29750,29158,30581,28919,28809,3070,9666,10417,9656,10579,9952,10274,8269,9149,8863,1448,6118,4030,6904,6805,5409,5722,5903,2835,2663,-545,-179,-4577,194,-948,-3642,-5556,-3962,-4899,-5011,903,5939,-547,7098,5857,1767,166,1941,-2064,-2348,-99,-14,-16,53,-83,-109,-29,-31,-17,-63,12.37649134,12.52644271,12.58058801,12.7251829,12.74479119,12.61353566,12.38657397,12.10396924,11.9523682,9.216160453,9.134678469,9.450191735,9.313893595,9.550086593,9.327081372,9.750162644,9.194984935,9.140363546,3.160330883,3.391764235,3.130396274,3.411289307,3.194704597,3.286454284,2.636411331,2.908984307,2.812004655,2.00030047,1.312163758,2.238220368,2.19433063,1.736350198,1.83035735,1.882057816,0.901406767,0.844902222,-0.058524646,-1.490266382,0.062893214,-0.305690733,-1.169123206,-1.777257154,-1.263207364,-1.557669048,-1.58986295,1.941775824,-0.178102624,2.301113583,1.888639897,0.567226992,0.053100196,0.618850453,-0.656262281,-0.744960728
40,2,4,20,Kansas,2853118,2853123,2858190,2869225,2885257,2893212,2900475,2909011,2910844,2908718,2911359,2913314,5067,11035,16032,7955,7263,8536,1833,-2126,2641,1955,9987,40113,39582,39727,39292,39001,38613,37409,35912,35457,5996,25169,24978,25592,25475,26530,26238,27016,25734,25230,3991,14944,14604,14135,13817,12471,12375,10393,10178,10227,919,4749,5977,5716,6534,9088,7640,2278,4053,4104,219,-8652,-4625,-11900,-13065,-12926,-18161,-14764,-11564,-12357,1138,-3903,1352,-6184,-6531,-3838,-10521,-12486,-7511,-8253,-62,-6,76,4,-23,-97,-21,-33,-26,-19,14.00736633,13.75692895,13.75000887,13.56372894,13.42666115,13.26940276,12.856294,12.3407302,12.17476071,8.788956274,8.681233168,8.857709542,8.794054632,9.13333813,9.016719489,9.284547531,8.843181972,8.66314727,5.218410051,5.075695779,4.892299327,4.769674302,4.293323024,4.252683271,3.571746465,3.497548228,3.511613442,1.658339757,2.077337283,1.978378702,2.255558507,3.1286761,2.625494965,0.782876787,1.392765079,1.40917782,-3.021258281,-1.607442686,-4.118738026,-4.510081404,-4.449963387,-6.241048961,-5.073921371,-3.973830587,-4.242984971,-1.362918524,0.469894597,-2.140359324,-2.254522897,-1.321287288,-3.615553996,-4.291044584,-2.581065508,-2.833807151
40,3,6,21,Kentucky,4339367,4339333,4348181,4369821,4386346,4404659,4414349,4425976,4438182,4452268,4461153,4467673,8848,21640,16525,18313,9690,11627,12206,14086,8885,6520,13687,55309,55306,56046,55758,55943,55681,54910,54428,53471,10554,42508,42857,44417,43645,46309,46715,48541,46582,46074,3133,12801,12449,11629,12113,9634,8966,6369,7846,7397,1510,5010,7784,8844,4993,7417,7095,5916,895,765,4041,3852,-3564,-2091,-7102,-5275,-3752,1936,226,-1541,5551,8862,4220,6753,-2109,2142,3343,7852,1121,-776,164,-23,-144,-69,-314,-149,-103,-135,-82,-101,12.68845775,12.63246807,12.75076058,12.64495962,12.65632202,12.56317859,12.35258058,12.21259492,11.97716251,9.751775694,9.788986437,10.10510175,9.897938634,10.47676415,10.54020021,10.91980721,10.45210363,10.32028175,2.936682052,2.843481628,2.64565883,2.74702098,2.179557878,2.022978381,1.432773369,1.760491286,1.656880759,1.149345917,1.777946903,2.012056642,1.132326901,1.677992608,1.600828866,1.330866267,0.200820762,0.171355114,0.883688717,-0.814054826,-0.475713528,-1.610611987,-1.193395039,-0.846555307,0.435523511,0.050710047,-0.345174158,2.033034633,0.963892077,1.536343114,-0.478285086,0.484597569,0.754273559,1.766389778,0.25153081,-0.173819044
40,3,7,22,Louisiana,4533372,4533487,4544532,4575625,4600972,4624527,4644013,4664628,4678135,4670560,4659690,4648794,11045,31093,25347,23555,19486,20615,13507,-7575,-10870,-10896,14574,62290,62286,62541,64226,64390,63993,62391,59870,58498,9182,40767,40733,43787,43592,43973,43677,45011,46238,46343,5392,21523,21553,18754,20634,20417,20316,17380,13632,12155,1201,6728,4152,6115,4643,6107,6417,3265,3293,3040,4107,2728,-591,-1614,-5764,-5865,-13144,-28239,-27776,-26045,5308,9456,3561,4501,-1121,242,-6727,-24974,-24483,-23005,345,114,233,300,-27,-44,-82,19,-19,-46,13.65985257,13.57496684,13.55829099,13.85892492,13.83445768,13.69894538,13.34753139,12.83352536,12.56874911,8.939977678,8.877582834,9.492603056,9.406443733,9.447780831,9.349910728,9.629365382,9.911417165,9.957153066,4.719874888,4.697384009,4.065687937,4.452481189,4.386676852,4.349034649,3.718166011,2.922108197,2.611596045,1.475413197,0.904910611,1.325673549,1.001883792,1.312114196,1.373683567,0.698493212,0.705876048,0.653167584,0.598235316,-0.128805918,-0.349899772,-1.243777337,-1.260119495,-2.813728658,-6.041271001,-5.953966936,-5.5959703,2.073648513,0.776104693,0.975773777,-0.241893545,0.0519947,-1.440045092,-5.342777789,-5.248090887,-4.942802716
40,1,1,23,Maine,1328361,1328358,1327629,1328284,1327729,1328009,1330513,1328262,1331317,1334612,1339057,1344212,-729,655,-555,280,2504,-2251,3055,3295,4445,5155,3442,12623,12799,12869,12704,12652,12647,12451,12252,12073,3102,13026,12752,13406,13350,14175,14172,14551,14416,14335,340,-403,47,-537,-646,-1523,-1525,-2100,-2164,-2262,294,1102,476,1742,2994,623,1966,628,874,852,-1309,-3,-872,-783,320,-1253,2660,4815,5768,6613,-1015,1099,-396,959,3314,-630,4626,5443,6642,7465,-54,-41,-206,-142,-164,-98,-46,-48,-33,-48,9.505582449,9.637754032,9.691468059,9.557190048,9.51716486,9.510527794,9.340833908,9.164934029,8.998725063,9.809056245,9.602362639,10.09587542,10.04317437,10.66280524,10.65732584,10.91626971,10.7836834,10.68472822,-0.303473796,0.035391393,-0.404407362,-0.485984318,-1.145640379,-1.146798046,-1.575435805,-1.618749367,-1.686003155,0.82984646,0.358431981,1.311876397,2.25237933,0.468636872,1.478429481,0.471130326,0.653783247,0.635046281,-0.00225911,-0.656623292,-0.589666601,0.240735266,-0.942539327,2.000316592,3.612249238,4.314670215,4.929062274,0.827587349,-0.298191312,0.722209796,2.493114595,-0.473902455,3.478746072,4.083379565,4.968453462,5.564108556
40,3,5,24,Maryland,5773552,5773794,5788645,5839419,5886992,5923188,5957283,5985562,6003323,6023868,6035802,6045680,14851,50774,47573,36196,34095,28279,17761,20545,11934,9878,18468,73541,72733,72361,72753,74134,73397,71942,71389,70091,10608,43692,43467,45721,44767,47192,47258,49834,50845,51453,7860,29849,29266,26640,27986,26942,26139,22108,20544,18638,6545,20485,25540,21154,23126,27296,21413,22617,15809,15011,851,519,-6440,-11012,-16479,-25651,-29709,-24054,-24353,-23665,7396,21004,19100,10142,6647,1645,-8296,-1437,-8544,-8654,-405,-79,-793,-586,-538,-308,-82,-126,-66,-106,12.64888119,12.40498905,12.2540046,12.24749423,12.41479731,12.2441745,11.96322566,11.83929577,11.60304671,7.514922519,7.413521494,7.742642365,7.536233202,7.902974543,7.883635551,8.286889266,8.432237366,8.517663644,5.133958671,4.991467551,4.511362232,4.711261027,4.511822769,4.360538949,3.676336395,3.407058402,3.085383068,3.52337242,4.355978995,3.582333208,3.893111645,4.571105126,3.57214203,3.760977937,2.621796451,2.484960041,0.089266795,-1.098375283,-1.864831865,-2.77413244,-4.295626377,-4.956090579,-3.999936477,-4.038750646,-3.917565742,3.612639215,3.257603712,1.717501342,1.118979206,0.275478749,-1.383948549,-0.23895854,-1.416954195,-1.432605702
40,1,1,25,Massachusetts,6547629,6547785,6566307,6613583,6663005,6713315,6762596,6794228,6823608,6859789,6882635,6892503,18522,47276,49422,50310,49281,31632,29380,36181,22846,9868,18645,73185,72224,72157,71950,71919,71410,70765,70696,70419,12303,53998,52393,54784,54721,57490,55981,58172,58890,58564,6342,19187,19831,17373,17229,14429,15429,12593,11806,11855,8872,33717,38241,36877,43948,40282,44261,48794,38352,28426,3563,-5472,-7745,-3094,-10782,-22573,-30169,-25009,-27223,-30274,12435,28245,30496,33783,33166,17709,14092,23785,11129,-1848,-255,-156,-905,-846,-1114,-506,-141,-197,-89,-139,11.10555551,10.87990378,10.78876702,10.67831333,10.61000718,10.48771626,10.34319183,10.28872345,10.2240718,8.193998584,7.89253986,8.191191598,8.121306233,8.481337517,8.221717459,8.502567016,8.570540394,8.502854926,2.911556925,2.987363922,2.597575417,2.557007092,2.128669665,2.265998798,1.84062481,1.718183051,1.721216876,5.116431169,5.760666822,5.513773594,6.522453287,5.942689822,6.500445445,7.131854758,5.581548059,4.127145587,-0.830355944,-1.166715424,-0.46260855,-1.600188663,-3.33013101,-4.430806774,-3.655378851,-3.961892021,-4.395455058,4.286075225,4.593951398,5.051165044,4.922264625,2.612558812,2.069638671,3.476475907,1.619656037,-0.268309472
40,2,3,26,Michigan,9883640,9884116,9877510,9882412,9897145,9913065,9929848,9931715,9950571,9973114,9984072,9986857,-6606,4902,14733,15920,16783,1867,18856,22543,10958,2785,29100,113972,113075,113019,114518,113802,113314,112565,110376,109472,22108,89833,89037,92325,91840,96307,94761,97505,96260,95983,6992,24139,24038,20694,22678,17495,18553,15060,14116,13489,4576,21595,23918,23211,23108,21215,27665,20952,13645,13146,-18629,-40878,-32963,-28210,-28444,-36387,-27092,-13172,-16639,-23670,-14053,-19283,-9045,-4999,-5336,-15172,573,7780,-2994,-10524,455,46,-260,225,-559,-456,-270,-297,-164,-180,11.53567307,11.43352199,11.41017687,11.54245851,11.45952109,11.39848808,11.29961651,11.06127888,10.96313547,9.092444798,9.002931663,9.320951166,9.256705404,9.697826903,9.532203691,9.787847981,9.646650585,9.612271918,2.443228268,2.430590331,2.089225707,2.285753105,1.761694183,1.86628439,1.511768531,1.414628295,1.350863548,2.185737373,2.418456591,2.343337097,2.329093516,2.136287059,2.782879192,2.103225382,1.367427252,1.316513618,-4.137465725,-3.333037236,-2.848026346,-2.866917776,-3.664062088,-2.725239945,-1.322245358,-1.667469552,-2.370445561,-1.951728352,-0.914580645,-0.504689249,-0.53782426,-1.52777503,0.057639247,0.780980025,-0.300042301,-1.053931943
40,2,4,27,Minnesota,5303925,5303927,5310828,5346143,5376643,5413479,5451079,5482032,5522744,5566230,5606249,5639632,6901,35315,30500,36836,37600,30953,40712,43486,40019,33383,17496,68367,68043,68955,69903,69711,69808,69570,67861,67642,9361,39959,39303,41318,40795,42860,42608,43970,43494,43200,8135,28408,28740,27637,29108,26851,27200,25600,24367,24442,2935,11811,11227,10994,15877,16400,16197,10604,9256,9113,-4035,-4853,-9113,-1373,-6701,-11865,-2475,7531,6566,65,-1100,6958,2114,9621,9176,4535,13722,18135,15822,9178,-134,-51,-354,-422,-684,-433,-210,-249,-170,-237,12.830475,12.69129124,12.78113445,12.86807986,12.75227152,12.68685523,12.54759908,12.14788589,12.0296489,7.499128974,7.330744081,7.65848616,7.509739467,7.84040334,7.743546984,7.930400053,7.785917521,7.682812934,5.331346027,5.360547156,5.122648289,5.358340395,4.911868177,4.943308251,4.61719903,4.361968369,4.346835966,2.2165773,2.094045335,2.037789749,2.922714389,3.000061007,2.94363102,1.912530411,1.656928601,1.620682275,-0.910765357,-1.699744824,-0.254492025,-1.233552253,-2.170470967,-0.449804703,1.358286168,1.175388202,0.011559788,1.305811942,0.394300511,1.783297724,1.689162136,0.829590041,2.493826317,3.270816579,2.832316803,1.632242063
